,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1919-20 (Season 28),West Bromwich Albion,Burnley,Chelsea,Liverpool,Sunderland,Bolton Wanderers,Manchester City,Newcastle United,Aston Villa,Arsenal,Bradford Park Avenue,Manchester United,Middlesbrough,Sheffield United,Bradford City,Everton,Oldham Athletic,Derby County,Preston North End,Blackburn Rovers,Notts County,The Wednesday,
1,1920-21 (Season 29),Burnley,Manchester City,Bolton Wanderers,Liverpool,Newcastle United,Tottenham Hotspur,Everton,Middlesbrough,Arsenal,Aston Villa,Blackburn Rovers,Sunderland,Manchester United,West Bromwich Albion,Bradford City,Preston North End,Huddersfield Town,Chelsea,Oldham Athletic,Sheffield United,Derby County,Bradford Park Avenue,
2,1921-22 (Season 30),Liverpool,Tottenham Hotspur,Burnley,Cardiff City,Aston Villa,Bolton Wanderers,Newcastle United,Middlesbrough,Chelsea,Manchester City,Sheffield United,Sunderland,West Bromwich Albion,Huddersfield Town,Blackburn Rovers,Preston North End,Arsenal,Birmingham,Oldham Athletic,Everton,Bradford City,Manchester United,
3,1922-23 (Season 31),Liverpool,Sunderland,Huddersfield Town,Newcastle United,Everton,Aston Villa,West Bromwich Albion,Manchester City,Cardiff City,Sheffield United,Arsenal,Tottenham Hotspur,Bolton Wanderers,Blackburn Rovers,Burnley,Preston North End,Birmingham,Middlesbrough,Chelsea,Nottingham Forest,Stoke,Oldham Athletic,
4,1923-24 (Season 32),Huddersfield Town,Cardiff City,Sunderland,Bolton Wanderers,Sheffield United,Aston Villa,Everton,Blackburn Rovers,Newcastle United,Notts County,Manchester City,Liverpool,West Ham United,Birmingham,Tottenham Hotspur,West Bromwich Albion,Burnley,Preston North End,Arsenal,Nottingham Forest,Chelsea,Middlesbrough,
5,1924-25 (Season 33),Huddersfield Town,West Bromwich Albion,Bolton Wanderers,Liverpool,Bury,Newcastle United,Sunderland,Birmingham,Notts County,Manchester City,Cardiff City,Tottenham Hotspur,West Ham United,Sheffield United,Aston Villa,Blackburn Rovers,Everton,Leeds United,Burnley,Arsenal,Preston North End,Nottingham Forest,
6,1925-26 (Season 34),Huddersfield Town,Arsenal,Sunderland,Bury,Sheffield United,Aston Villa,Liverpool,Bolton Wanderers,Manchester United,Newcastle United,Everton,Blackburn Rovers,West Bromwich Albion,Birmingham,Tottenham Hotspur,Cardiff City,Leicester City,West Ham United,Leeds United,Burnley,Manchester City,Notts County,
7,1926-27 (Season 35),Newcastle United,Huddersfield Town,Sunderland,Bolton Wanderers,Burnley,West Ham United,Leicester City,Sheffield United,Liverpool,Aston Villa,Arsenal,Derby County,Tottenham Hotspur,Cardiff City [notes 1],Manchester United,The Wednesday,Birmingham,Blackburn Rovers,Bury,Everton,Leeds United,West Bromwich Albion,
8,1927-28 (Season 36),Everton,Huddersfield Town,Leicester City,Derby County,Bury,Cardiff City,Bolton Wanderers,Aston Villa,Newcastle United,Arsenal,Birmingham,Blackburn Rovers,Sheffield United,The Wednesday,Sunderland,Liverpool,West Ham United,Manchester United,Burnley,Portsmouth,Tottenham Hotspur,Middlesbrough,
9,1928-29 (Season 37),The Wednesday,Leicester City,Aston Villa,Sunderland,Liverpool,Derby County,Blackburn Rovers,Manchester City,Arsenal,Newcastle United,Sheffield United,Manchester United,Leeds United,Bolton Wanderers,Birmingham,Huddersfield Town,West Ham United,Everton,Burnley,Portsmouth,Bury,Cardiff City,
10,1929-30 (Season 38),Sheffield Wednesday,Derby County,Manchester City,Aston Villa,Leeds United,Blackburn Rovers,West Ham United,Leicester City,Sunderland,Huddersfield Town,Birmingham,Liverpool,Portsmouth,Arsenal,Bolton Wanderers,Middlesbrough,Manchester United,Grimsby Town,Newcastle United,Sheffield United,Burnley,Everton,
11,1930-31 (Season 39),Arsenal,Aston Villa,Sheffield Wednesday,Portsmouth,Huddersfield Town,Derby County,Middlesbrough,Manchester City,Liverpool,Blackburn Rovers,Sunderland,Chelsea,Grimsby Town,Bolton Wanderers,Sheffield United,Leicester City,Newcastle United,West Ham United,Birmingham,Blackpool,Leeds United,Manchester United,
12,1931-32 (Season 40),Everton,Arsenal,Sheffield Wednesday,Huddersfield Town,Aston Villa,West Bromwich Albion,Sheffield United,Portsmouth,Birmingham,Liverpool,Newcastle United,Chelsea,Sunderland,Manchester City,Derby County,Blackburn Rovers,Bolton Wanderers,Middlesbrough,Leicester City,Blackpool,Grimsby Town,West Ham United,
13,1932-33 (Season 41),Arsenal,Aston Villa,Sheffield Wednesday,West Bromwich Albion,Newcastle United,Huddersfield Town,Derby County,Leeds United,Portsmouth,Sheffield United,Everton,Sunderland,Birmingham,Liverpool,Blackburn Rovers,Manchester City,Middlesbrough,Chelsea,Leicester City,Wolverhampton Wanderers,Bolton Wanderers,Blackpool,
14,1933-34 (Season 42),Arsenal,Huddersfield Town,Tottenham Hotspur,Derby County,Manchester City,Sunderland,West Bromwich Albion,Blackburn Rovers,Leeds United,Portsmouth,Sheffield Wednesday,Stoke City,Aston Villa,Everton,Wolverhampton Wanderers,Middlesbrough,Leicester City,Liverpool,Chelsea,Birmingham,Newcastle United,Sheffield United,
15,1934-35 (Season 43),Arsenal,Sunderland,Sheffield Wednesday,Manchester City,Grimsby Town,Derby County,Liverpool,Everton,West Bromwich Albion,Stoke City,Preston North End,Chelsea,Aston Villa,Portsmouth,Blackburn Rovers,Huddersfield Town,Wolverhampton Wanderers,Leeds United,Birmingham,Middlesbrough,Leicester City,Tottenham Hotspur,
16,1935-36 (Season 44),Sunderland,Derby County,Huddersfield Town,Stoke City,Brentford,Arsenal,Preston North End,Chelsea,Manchester City,Portsmouth,Leeds United,Birmingham,Bolton Wanderers,Middlesbrough,Wolverhampton Wanderers,Everton,Grimsby Town,West Bromwich Albion,Liverpool,Sheffield Wednesday,Aston Villa,Blackburn Rovers,
17,1936-37 (Season 45),Manchester City,Charlton Athletic,Arsenal,Derby County,Wolverhampton Wanderers,Brentford,Middlesbrough,Sunderland,Portsmouth,Stoke City,Birmingham,Grimsby Town,Chelsea,Preston North End,Huddersfield Town,West Bromwich Albion,Everton,Liverpool,Leeds United,Bolton Wanderers,Manchester United,Sheffield Wednesday,
18,1937-38 (Season 46),Arsenal,Wolverhampton Wanderers,Preston North End,Charlton Athletic,Middlesbrough,Brentford,Bolton Wanderers,Sunderland,Leeds United,Chelsea,Liverpool,Blackpool,Derby County,Everton,Huddersfield Town,Leicester City,Stoke City,Birmingham,Portsmouth,Grimsby Town,Manchester City,West Bromwich Albion,
19,1938-39 (Season 47),Everton,Wolverhampton Wanderers,Charlton Athletic,Middlesbrough,Arsenal,Derby County,Stoke City,Bolton Wanderers,Preston North End,Grimsby Town,Liverpool,Aston Villa,Leeds United,Manchester United,Blackpool,Sunderland,Portsmouth,Brentford,Huddersfield Town,Chelsea,Birmingham,Leicester City,
20,1939-40 (Season 48*),Blackpool,Sheffield United,Arsenal,Liverpool,Everton,Bolton Wanderers,Derby County,Charlton Athletic,Stoke City,Manchester United,Aston Villa,Brentford,Chelsea,Grimsby Town,Huddersfield Town,Sunderland,Portsmouth,Wolverhampton Wanderers,Preston North End,Blackburn Rovers,Middlesbrough,Leeds United,
