ID,Player Name,Overall,Club,League,League location,Nationality,Position,Age,Height (cm),Weight (Kg),Pace,Acceleration,Sprint Speed,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Shooting,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Passing,Vision,Crossing,Free Kick,Short Pass,Long Pass,Pass Curve,Defending,Interceptions,Heading,Marking,Standing Tackle,Sliding Tackle,Physicality,Jumping,Stamina,Strength,Aggression,Diving,Reflexes,Handling,Speed,Kicking,Positoning,Preferred Foot,Attacking Workrate,Defensive Workrate,Weak Foot,Skill Moves,CB,RB,LB,RWB,LWB,CDM,CM,RM,LM,CAM,CF,RF,LF,RW,LW,ST
0,Lionel Messi,95,FC Barcelona,LaLiga Santander,Spain,Argentina,CF,31,170,72,89,92,86,97,91,95,95,97,97,92,95,96,85,95,86,75,89,95,77,95,91,87,94,33,22,72,34,28,26,62,69,73,59,48,0,0,0,0,0,0,Left,Med,Med,4,4,48,59,59,64,64,62,85,91,91,94,94,94,94,93,93,90
1,C. Ronaldo dos Santos Aveiro,94,Juventus,Serie A TIM,Italy,Portugal,ST,33,187,83,90,89,91,90,87,70,96,94,95,93,95,94,95,93,87,85,81,82,84,76,81,77,81,35,29,89,28,31,23,79,95,88,79,63,0,0,0,0,0,0,Right,High,Low,4,5,54,61,61,65,65,61,81,88,88,88,91,91,91,90,90,92
2,Kevin De Bruyne,92,Manchester City,Premier League,England,Belgium,CAM,27,181,70,78,79,76,88,79,77,92,92,89,87,88,83,92,92,82,79,93,95,94,83,93,91,85,61,61,55,68,58,51,79,63,91,75,76,0,0,0,0,0,0,Right,High,High,5,4,67,74,74,78,78,78,88,89,89,89,88,88,88,88,88,83
3,Luis Suárez,92,FC Barcelona,LaLiga Santander,Spain,Uruguay,ST,31,182,86,81,87,75,88,82,83,94,91,85,91,93,95,86,85,88,85,80,85,77,85,83,64,87,53,41,78,63,45,38,86,69,91,83,88,0,0,0,0,0,0,Right,High,Med,4,3,64,67,67,70,70,69,81,86,86,87,89,89,89,87,87,88
4,Sergio Ramos García,92,Real Madrid,LaLiga Santander,Spain,Spain,CB,32,184,82,76,77,76,73,79,66,86,85,81,64,52,60,80,55,67,69,72,63,66,67,79,73,74,92,90,92,89,93,92,85,94,85,83,85,0,0,0,0,0,0,Right,High,Med,3,3,89,85,85,83,83,84,75,72,72,70,70,70,70,70,70,72
5,Luka Modric,92,Real Madrid,LaLiga Santander,Spain,Croatia,CM,33,172,66,77,81,72,92,94,95,90,94,84,77,80,72,80,83,77,83,91,93,86,78,94,88,85,71,84,55,60,77,74,68,69,90,58,62,0,0,0,0,0,0,Right,High,High,4,4,72,80,80,83,83,82,89,87,87,88,85,85,85,86,86,78
6,Neymar da Silva Santos Jr.,92,Paris Saint-Germain,Ligue 1 Conforama,France,Brazil,LW,26,175,68,92,94,90,95,96,84,94,95,94,84,89,87,80,82,84,81,83,87,79,87,84,78,88,32,36,62,27,24,33,59,61,81,49,56,0,0,0,0,0,0,Right,High,Med,5,5,47,61,61,66,66,61,81,89,89,90,90,90,90,90,90,84
7,David De Gea Quintana,91,Manchester United,Premier League,England,Spain,GK,27,193,76,0,57,58,0,60,43,90,42,68,0,12,13,31,12,13,40,0,68,17,19,50,51,21,0,30,21,15,21,13,0,67,43,64,38,90,94,85,57,87,88,Right,Med,Med,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Eden Hazard,91,Chelsea,Premier League,England,Belgium,LW,27,173,74,91,93,89,94,95,94,90,94,91,82,87,84,80,80,80,86,86,89,81,79,89,83,83,35,41,61,34,27,22,67,56,83,66,54,0,0,0,0,0,0,Right,High,Med,4,4,50,61,61,66,66,63,83,89,89,90,89,89,89,89,89,84
9,Robert Lewandowski,91,FC Bayern München,Bundesliga,Germany,Poland,ST,30,184,80,79,77,79,86,78,78,91,90,87,90,92,92,88,84,90,88,76,78,62,87,84,65,78,42,39,87,34,43,19,83,85,78,85,80,0,0,0,0,0,0,Right,High,Med,4,4,58,59,59,62,62,63,78,82,82,85,87,87,87,84,84,88
10,Manuel Neuer,91,FC Bayern München,Bundesliga,Germany,Germany,GK,32,193,92,0,55,61,0,51,35,84,48,70,0,12,13,25,16,11,47,0,70,15,11,55,59,14,0,30,25,17,10,11,0,77,43,80,29,92,89,89,55,92,89,Right,Med,Med,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Thibaut Courtois,91,Real Madrid,LaLiga Santander,Spain,Belgium,GK,26,199,96,0,47,53,0,61,45,84,23,66,0,13,14,36,17,12,27,0,44,14,20,33,35,19,0,15,13,20,18,16,0,68,38,70,23,88,89,92,47,75,88,Left,Med,Med,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Toni Kroos,91,Real Madrid,LaLiga Santander,Spain,Germany,CM,28,183,76,68,69,66,83,70,71,90,91,86,83,79,76,88,93,83,73,90,86,88,84,93,94,86,75,82,54,68,83,69,70,30,76,74,60,0,0,0,0,0,0,Right,Med,Med,5,3,73,78,78,81,81,83,87,83,83,85,83,83,83,82,82,79
13,Diego Godín,91,Atlético Madrid,LaLiga Santander,Spain,Uruguay,CB,32,187,78,69,69,69,65,58,54,86,77,83,49,49,42,68,43,47,51,66,52,55,51,80,71,49,90,88,93,91,90,90,85,92,66,91,89,0,0,0,0,0,0,Right,Med,High,3,2,89,80,80,77,77,82,69,64,64,63,63,63,63,62,62,65
14,Jan Oblak,91,Atlético Madrid,LaLiga Santander,Spain,Slovenia,GK,25,188,87,0,44,61,0,67,49,86,16,70,0,11,11,22,12,13,11,0,70,13,14,29,26,13,0,19,15,27,12,18,0,76,41,78,34,87,90,93,44,79,89,Right,Med,Med,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Giorgio Chiellini,90,Juventus,Serie A TIM,Italy,Italy,CB,34,187,85,70,65,73,61,54,55,83,57,85,47,28,33,79,50,45,51,57,50,59,31,60,60,61,92,88,84,94,94,90,83,90,61,88,93,0,0,0,0,0,0,Left,Med,High,2,2,87,78,78,74,74,76,60,57,57,55,55,55,55,55,55,58
16,Paulo Dybala,90,Juventus,Serie A TIM,Italy,Argentina,CAM,24,177,75,86,88,83,92,92,85,86,93,84,86,84,84,82,89,89,87,85,88,82,89,88,75,89,29,33,70,23,20,20,67,76,81,65,48,0,0,0,0,0,0,Left,High,Med,3,4,46,57,57,63,63,59,80,87,87,88,87,87,87,88,88,84
17,Sergio Agüero,90,Manchester City,Premier League,England,Argentina,ST,30,173,70,85,89,80,90,86,92,90,90,91,90,93,94,88,82,85,83,77,84,70,72,82,63,83,29,24,76,31,20,12,74,82,77,74,65,0,0,0,0,0,0,Right,High,Med,4,4,48,54,54,59,59,56,77,85,85,86,88,88,88,87,87,87
18,David Josué Jimenez Silva,90,Manchester City,Premier League,England,Spain,CAM,32,173,67,67,70,64,92,93,90,87,94,93,75,89,73,71,73,81,76,88,93,83,76,93,81,82,51,48,55,58,51,29,61,65,79,52,56,0,0,0,0,0,0,Left,High,Med,2,4,57,64,64,69,69,69,84,85,85,87,84,84,84,85,85,77
19,Marc-André ter Stegen,90,FC Barcelona,LaLiga Santander,Spain,Germany,GK,26,187,85,0,39,51,0,37,43,85,18,69,0,11,14,22,10,14,25,0,69,15,12,30,38,18,0,22,11,25,13,10,0,79,35,79,43,88,91,86,39,89,86,Right,Med,Med,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Mats Hummels,90,FC Bayern München,Bundesliga,Germany,Germany,CB,29,191,92,66,62,69,74,63,60,89,82,92,59,56,55,72,51,61,69,77,80,64,53,83,86,65,91,93,87,89,93,91,77,68,66,86,69,0,0,0,0,0,0,Right,High,Med,3,3,87,82,82,80,80,85,79,72,72,73,71,71,71,70,70,70
21,Harry Kane,90,Tottenham Hotspur,Premier League,England,England,ST,25,188,89,71,68,73,82,71,71,92,85,90,91,94,95,88,85,82,91,80,81,75,68,81,83,78,48,35,86,57,36,38,84,78,90,85,76,0,0,0,0,0,0,Right,High,High,4,3,61,63,63,66,66,67,80,83,83,84,85,85,85,83,83,87
22,Francisco Román Alarcón Suárez,90,Real Madrid,LaLiga Santander,Spain,Spain,CAM,26,176,79,73,76,69,93,87,90,79,96,86,82,80,86,69,90,65,76,86,91,75,74,90,84,89,62,67,55,60,65,51,63,65,71,59,58,0,0,0,0,0,0,Right,High,Med,3,4,64,70,70,73,73,74,85,85,85,88,85,85,85,86,86,79
