Stadium,Town_City,Capacity,Club,League_Tier,League_Pos
Wembley Stadium, London,90000, England national football team, National Stadium, 
Wembley Stadium, London,90000, Tottenham Hotspur, Premier League,3
Old Trafford, Manchester,74994, Manchester United, Premier League,1
Emirates Stadium, Islington London,60260, Arsenal, Premier League,2
London Stadium, London,60000, West Ham United, Premier League,3
City of Manchester Stadium, Manchester,55097, Manchester City, Premier League,4
Anfield, Liverpool,54074, Liverpool, Premier League,5
St James Park, Newcastle upon Tyne,52338, Newcastle United, Premier League,6
Stadium of Light, Sunderland,48707, Sunderland, League One,1
Villa Park, Birmingham,42660, Aston Villa, Championship,1
Stamford Bridge, Chelsea London,41798, Chelsea, Premier League,7
Hillsborough Stadium, Sheffield,39732, Sheffield Wednesday, Championship,2
Goodison Park, Liverpool,39571, Everton, Premier League,8
Elland Road, Leeds,37890, Leeds United, Championship,3
Riverside Stadium, Middlesbrough,34988, Middlesbrough, Championship,4
Pride Park Stadium, Derby,33597, Derby County, Championship,5
Cardiff City Stadium, Cardiff,33280, Cardiff City, Championship,6
Bramall Lane, Sheffield,32702, Sheffield United, Championship,7
St Marys Stadium, Southampton,32505, Southampton, Premier League,9
Ricoh Arena, Coventry,32500, Coventry City, League One,2
King Power Stadium, Leicester,32312, Leicester City, Premier League,10
Molineux, Wolverhampton,31700, Wolverhampton Wanderers, Premier League,11
Ewood Park, Blackburn,31154, Blackburn Rovers, Championship,8
Falmer Stadium, Brighton,30750, Brighton & Hove Albion, Premier League,12
City Ground, Nottingham,30576, Nottingham Forest, Championship,9
Stadium mk, Milton Keynes,30500, Milton Keynes Dons, League Two,1
Portman Road, Ipswich,30311, Ipswich Town, Championship,10
Bet365 Stadium, Stoke-on-Trent,30089, Stoke City, Premier League,13
St Andrews, Birmingham,30016, Birmingham City, Championship,11
The University of Bolton Stadium, Bolton,28723, Bolton Wanderers, Championship,12
Carrow Road, Norwich,27224, Norwich City, Championship,13
The Valley, Greenwich London,27111, Charlton Athletic, League One,3
Ashton Gate Stadium, Bristol,27000, Bristol City, Championship,14
The Hawthorns, West Bromwich,26850, West Bromwich Albion, Premier League,14
Craven Cottage, London,25678, Fulham, Championship,15
KCOM Stadium, Kingston upon Hull,25586, Hull City, Championship,16
Valley Parade, Bradford,25136, Bradford City, League One,4
Selhurst Park, London,26074, Crystal Palace, Premier League,15
DW Stadium, Wigan,25023, Wigan Athletic, League One,5
Kirklees Stadium, Huddersfield,24500, Huddersfield Town, Premier League,16
Madejski Stadium, Reading,24161, Reading, Championship,17
Deepdale, Preston,23408, Preston North End, Championship,18
Oakwell, Barnsley,23009, Barnsley, Championship,19
Vicarage Road, Watford,21438, Watford, Premier League,17
Turf Moor, Burnley,21401, Burnley, Premier League,18
Liberty Stadium, Swansea,20909, Swansea City, Premier League,19
Fratton Park, Portsmouth,20700, Portsmouth, League One,6
Meadow Lane, Nottingham,20300, Notts County, League Two,2
The Den, London,20146, Millwall, Championship,20
Home Park, Plymouth,19500, Plymouth Argyle, League One,7
Vale Park, Stoke-on-Trent,18947, Port Vale, League Two,3
Loftus Road, London,18489, Queens Park Rangers, Championship,21
Brunton Park, Carlisle,18202, Carlisle United, League Two,4
Bloomfield Road, Blackpool,17338, Blackpool, League One,8
Prenton Park, Birkenhead,16587, Tranmere Rovers, League Two,2
County Ground, Swindon,15728, Swindon Town, League Two,5
Keepmoat Stadium, Doncaster,15231, Doncaster Rovers, League One,9
Keepmoat Stadium, Doncaster,15231, Doncaster Rovers Belles, Womens Super League 1,2
London Road, Peterborough,14319, Peterborough United, League One,10
Boundary Park, Oldham,13309, Oldham Athletic, League One,11
Select Security Stadium, Widnes,13350, Liverpool Ladies, Womens Super League 1,1
Select Security Stadium, Widnes,13350, Everton Ladies, Womens Super League 2,9
Select Security Stadium, Widnes,13350, Widnes, North West Counties Div 1,1
Griffin Park, London,12763, Brentford, Championship,22
Kassam Stadium, Oxford,12500, Oxford United, League One,12
Roots Hall, Southend,12392, Southend United, League One,13
Memorial Stadium, Bristol,12300, Bristol Rovers, League One,14
